# 地名(世界)。key	名前	場所	よみ	絵文字	解説	緯度	経度
turkey	トルコ	ヨーロッパ・アジア	とるこ	🇹🇷	ヨーロッパとアジアにまたがる国。イスタンブールのモスク、ケバブ、のびるアイスで知られる。	39.0	35.2
russia	ロシア	ヨーロッパ・アジア	ろしあ	🇷🇺	世界でいちばん広い国。日本の45倍の広さで、11の時間帯がある。首都はモスクワ。	61.5	105.3
ireland	アイルランド	ヨーロッパ	あいるらんど	🇮🇪	「エメラルドの島」とよばれる緑の国。妖精の伝説と、音楽やダンスで知られる。	53.4	-8.0
egypt	エジプト	アフリカ	えじぷと	🇪🇬	ナイル川のめぐみで栄えた古代文明の国。ピラミッドとスフィンクス、首都はカイロ。	26.8	30.8
morocco	モロッコ	アフリカ	もろっこ	🇲🇦	アフリカの北西のはし。サハラ砂漠、青い町シャウエン、市場のにぎわいで知られる。	31.8	-7.1
kenya	ケニア	アフリカ	けにあ	🇰🇪	サバンナにライオンやゾウがくらす国。マラソンの強い選手が多い。赤道が通る。	0.0	37.9
tanzania	タンザニア	アフリカ	たんざにあ	🇹🇿	アフリカ最高峰キリマンジャロと、動物の大移動で有名なセレンゲティがある国。	-6.4	34.9
southafrica	南アフリカ	アフリカ	みなみあふりか	🇿🇦	アフリカ大陸の南のはし。喜望峰、ペンギン、ダイヤモンドや金が採れる。	-30.6	22.9
nigeria	ナイジェリア	アフリカ	ないじぇりあ	🇳🇬	アフリカでいちばん人口が多い国。約2億人がくらし、映画づくりもさかん。	9.1	8.7
ethiopia	エチオピア	アフリカ	えちおぴあ	🇪🇹	コーヒーが生まれた国。アフリカで唯一、ほかの国の植民地にならなかった。	9.1	40.5
madagascar	マダガスカル	アフリカ	まだがすかる	🇲🇬	アフリカの東にうかぶ大きな島。バオバブの木や、ここにしかいない生き物キツネザルがくらす。	-18.8	46.9
saudi	サウジアラビア	中東	さうじあらびあ	🇸🇦	アラビア半島の大部分をしめる砂漠の国。石油がたくさん採れ、イスラム教の聖地メッカがある。	23.9	45.1
uae	アラブ首長国連邦	中東	あらぶしゅちょうこくれんぽう	🇦🇪	7つの首長国が集まった国。ドバイには世界一高いビル ブルジュ・ハリファがある。	23.4	53.8
israel	イスラエル	中東	いすらえる	🇮🇱	ユダヤ教・キリスト教・イスラム教の聖地エルサレムがある。死海では体が浮く。	31.0	34.9
iran	イラン	中東	いらん	🇮🇷	昔はペルシャとよばれた国。美しいモスクとペルシャじゅうたん、ペルセポリスの遺跡がある。	32.4	53.7
india	インド	アジア	いんど	🇮🇳	世界でいちばん人口が多い国。タージ・マハル、カレー、ヨガ、映画が有名。	20.6	79.0
nepal	ネパール	アジア	ねぱーる	🇳🇵	世界最高峰エベレストがあるヒマラヤの国。国旗は世界で唯一 四角ではない。	28.4	84.1
srilanka	スリランカ	アジア	すりらんか	🇱🇰	インドの南にうかぶ島の国。紅茶の名産地で、昔は「セイロン」とよばれた。	7.9	80.8
thailand	タイ	アジア	たい	🇹🇭	「ほほえみの国」。金色の寺、ゾウ、トムヤムクンなどの料理で知られる。首都はバンコク。	15.9	100.9
vietnam	ベトナム	アジア	べとなむ	🇻🇳	細長い国で、フォーや生春巻きの料理、アオザイという民族衣装、ハロン湾が有名。	14.1	108.3
cambodia	カンボジア	アジア	かんぼじあ	🇰🇭	世界最大級の寺院遺跡アンコール・ワットがある国。国旗にもその絵が描かれている。	12.6	104.9
singapore	シンガポール	アジア	しんがぽーる	🇸🇬	東京23区ほどの小さな島の国。マーライオン像と、船をのせたようなホテルが有名。とても清潔。	1.35	103.8
malaysia	マレーシア	アジア	まれーしあ	🇲🇾	ペトロナスツインタワーがある首都クアラルンプール。熱帯のジャングルにオランウータンがくらす。	4.2	102.0
indonesia	インドネシア	アジア	いんどねしあ	🇮🇩	1万7000以上の島からなる国。バリ島のリゾート、コモドオオトカゲ、ボロブドゥールで有名。	-0.8	113.9
philippines	フィリピン	アジア	ふぃりぴん	🇵🇭	7000以上の島の国。白い砂浜の海、バナナやマンゴー、明るい人々で知られる。	12.9	121.8
china	中国	アジア	ちゅうごく	🇨🇳	万里の長城、パンダ、4000年の歴史。人口は約14億人で、日本のとなりの大きな国。	35.9	104.2
korea	韓国	アジア	かんこく	🇰🇷	日本にいちばん近い国。キムチ、K-POP、ハングル文字で知られる。首都はソウル。	36.5	127.9
mongolia	モンゴル	アジア	もんごる	🇲🇳	草原と遊牧民の国。移動式の家ゲルでくらし、馬に乗るのが上手。相撲の力士も多い。	46.9	103.8
taiwan	台湾	アジア	たいわん	🇹🇼	日本の南にある島。夜市の屋台、タピオカミルクティー、高さ508mの台北101で知られる。	23.7	121.0
australia	オーストラリア	オセアニア	おーすとらりあ	🇦🇺	大陸まるごと1つの国。コアラやカンガルー、グレートバリアリーフ、赤い岩ウルルが有名。	-25.3	133.8
newzealand	ニュージーランド	オセアニア	にゅーじーらんど	🇳🇿	人より羊が多い国。飛べない鳥キウイと、ラグビーのオールブラックスで知られる。	-40.9	174.9
fiji	フィジー	オセアニア	ふぃじー	🇫🇯	南太平洋にうかぶ300以上の島の国。青いサンゴの海と、あたたかい「ブラ！」のあいさつ。	-17.7	178.0
newyork	ニューヨーク	アメリカ	にゅーよーく	🗽	アメリカ最大の都市。自由の女神、タイムズスクエア、高層ビルがならぶマンハッタン。	40.7	-74.0
losangeles	ロサンゼルス	アメリカ	ろさんぜるす	🎬	映画の都ハリウッドがある町。1年中あたたかく、ビーチとヤシの木が広がる。	34.05	-118.2
sanfrancisco	サンフランシスコ	アメリカ	さんふらんしすこ	🌉	赤いゴールデン・ゲート・ブリッジと、坂を走るケーブルカーの町。霧が多い。	37.8	-122.4
honolulu	ホノルル	アメリカ・ハワイ	ほのるる	🌺	ハワイのいちばん大きな町。ワイキキビーチとダイヤモンドヘッドがあり、フラダンスの本場。	21.3	-157.9
chicago	シカゴ	アメリカ	しかご	🏙	五大湖のほとりの大都市。高層ビルの生まれた町で、深皿ピザが名物。	41.9	-87.6
lasvegas	ラスベガス	アメリカ	らすべがす	🎰	砂漠のまん中にできた 光りかがやく町。世界中から人がショーやホテルを見に集まる。	36.2	-115.1
vancouver	バンクーバー	カナダ	ばんくーばー	🏔	海と山にかこまれた 住みやすさ世界一といわれる町。冬季オリンピックが開かれた。	49.3	-123.1
toronto	トロント	カナダ	とろんと	🗼	カナダ最大の都市。高さ553mのCNタワーが目印で、世界中から人が集まる国際都市。	43.7	-79.4
rio	リオデジャネイロ	ブラジル	りおでじゃねいろ	🎭	コルコバードの丘のキリスト像と、世界一のカーニバルで有名。コパカバーナの海岸も。	-22.9	-43.2
buenosaires	ブエノスアイレス	アルゼンチン	ぶえのすあいれす	💃	「南米のパリ」とよばれる美しい町。タンゴが生まれ、ステーキが名物。	-34.6	-58.4
london	ロンドン	イギリス	ろんどん	🎡	イギリスの首都。時計台ビッグ・ベン、赤い二階建てバス、テムズ川の大観覧車。	51.5	-0.13
paris	パリ	フランス	ぱり	🗼	「花の都」。エッフェル塔、ルーブル美術館、セーヌ川、おしゃれなカフェで知られる。	48.86	2.35
rome	ローマ	イタリア	ろーま	🏛	2700年の歴史がある「永遠の都」。コロッセオやトレビの泉があり、中にバチカン市国がある。	41.9	12.5
milancity	ミラノ	イタリア	みらの	👗	ファッションとデザインの都。大きなドゥオーモと、サッカーの強いチームで知られる。	45.46	9.19
berlin	ベルリン	ドイツ	べるりん	🐻	ドイツの首都。東西に分けていた「ベルリンの壁」のあとが残る。市のシンボルはクマ。	52.52	13.4
munich	ミュンヘン	ドイツ	みゅんへん	🍺	世界一のビール祭り「オクトーバーフェスト」の町。近くにノイシュヴァンシュタイン城がある。	48.14	11.58
madrid	マドリード	スペイン	まどりーど	⚽	スペインの首都。プラド美術館と、サッカーのレアル・マドリードで有名。	40.4	-3.7
barcelona	バルセロナ	スペイン	ばるせろな	🏗	建築家ガウディの町。サグラダ・ファミリアが100年以上かけて 今も建てられている。	41.39	2.17
amsterdamcity	アムステルダム	オランダ	あむすてるだむ	🚲	運河が町中をめぐるオランダの首都。自転車が人より多く、ゴッホ美術館がある。	52.37	4.9
vienna	ウィーン	オーストリア	うぃーん	🎻	「音楽の都」。ベートーベンやモーツァルトが活躍し、オペラ座や宮殿が残る。	48.2	16.37
prague	プラハ	チェコ	ぷらは	🏰	「百塔の町」とよばれる 中世そのままの美しい首都。カレル橋とプラハ城が有名。	50.08	14.42
moscow	モスクワ	ロシア	もすくわ	⛪	ロシアの首都。赤の広場と、たまねぎ型の屋根の聖ワシリイ大聖堂、城壁のクレムリン。	55.75	37.6
istanbul	イスタンブール	トルコ	いすたんぶーる	🕌	ヨーロッパとアジアにまたがる唯一の都市。ボスポラス海峡と大きなモスクで知られる。	41.0	28.98
dubai	ドバイ	アラブ首長国連邦	どばい	🏙	砂漠に生まれた未来都市。世界一高いビル ブルジュ・ハリファと、ヤシの形の人工島。	25.2	55.27
cairo	カイロ	エジプト	かいろ	🐪	アフリカ最大の都市で エジプトの首都。すぐ近くにギザのピラミッドがある。	30.04	31.24
capetown	ケープタウン	南アフリカ	けーぷたうん	⛰	テーブルのように平らなテーブルマウンテンのふもとの町。近くに喜望峰がある。	-33.9	18.4
mumbai	ムンバイ	インド	むんばい	🎥	インド最大の都市。インド映画「ボリウッド」の中心地で、港にインド門が立つ。	19.08	72.88
bangkok	バンコク	タイ	ばんこく	🛕	タイの首都。金色にかがやく王宮と寺院、水上マーケット、屋台の料理で知られる。	13.75	100.5
hongkong	香港	中国	ほんこん	🌃	高層ビルがぎっしりならぶ港町。ビクトリア・ピークからの夜景は「100万ドルの夜景」。	22.3	114.17
shanghai	上海	中国	しゃんはい	🏙	中国最大の都市。川ぞいの外灘に古い西洋の建物と、対岸に超高層ビルがならぶ。	31.23	121.47
beijing	北京	中国	ぺきん	🏯	中国の首都。皇帝の宮殿だった故宮、天安門広場、近くに万里の長城がある。	39.9	116.4
seoul	ソウル	韓国	そうる	🏙	韓国の首都。漢江が流れ、宮殿と最新のビルがまざる。人口は約1000万人。	37.57	126.98
taipei	台北	台湾	たいぺい	🧋	台湾の中心の町。台北101と、夜市の屋台、故宮博物院で知られる。	25.03	121.57
sydney	シドニー	オーストラリア	しどにー	⛵	オーストラリア最大の都市。オペラハウスとハーバーブリッジが港のシンボル。	-33.87	151.2
venicecity	ベネチア	イタリア	べねちあ	🚣	道のかわりに運河が通る「水の都」。ゴンドラに乗って町をめぐる。	45.44	12.33
athens	アテネ	ギリシャ	あてね	🏛	ギリシャの首都。丘の上のパルテノン神殿は約2500年前のもの。近代オリンピック発祥の地。	37.98	23.73
lisbon	リスボン	ポルトガル	りすぼん	🚃	7つの丘の上に広がるポルトガルの首都。黄色い路面電車と、赤い屋根の町並み。	38.72	-9.14
stockholm	ストックホルム	スウェーデン	すとっくほるむ	👑	14の島の上にできたスウェーデンの首都。ノーベル賞の授賞式が行われる。	59.33	18.07
kualalumpur	クアラルンプール	マレーシア	くあらるんぷーる	🏙	マレーシアの首都。2本の塔がつながったペトロナスツインタワーが目印。	3.14	101.69
hanoi	ハノイ	ベトナム	はのい	🛵	ベトナムの首都。湖のまわりに古い町が広がり、バイクがたくさん走る。	21.03	105.85
# ── 2026-09-24 追加(大学受験の地理にも 出る 国と町)
ukraine	ウクライナ	ヨーロッパ	うくらいな	🇺🇦	黒海に面した国。「ヨーロッパのパンかご」とよばれる小麦の産地で、首都はキーウ。	48.4	31.2
belarus	ベラルーシ	ヨーロッパ	べらるーし	🇧🇾	ロシアとポーランドの間にある内陸国。首都はミンスク。森と湿地が多い。	53.7	27.9
romania	ルーマニア	ヨーロッパ	るーまにあ	🇷🇴	ドラキュラ伝説のトランシルバニア地方がある国。首都はブカレスト。	45.9	24.9
bulgaria	ブルガリア	ヨーロッパ	ぶるがりあ	🇧🇬	ヨーグルトとバラの香油で知られる国。首都はソフィア。黒海に面する。	42.7	25.5
serbia	セルビア	ヨーロッパ	せるびあ	🇷🇸	バルカン半島の内陸国。首都ベオグラードはドナウ川ぞいにある。テニスの強い選手で有名。	44.0	21.0
croatia	クロアチア	ヨーロッパ	くろあちあ	🇭🇷	アドリア海に面し、城壁の町ドブロブニクがある。ネクタイが生まれた国。	45.1	15.2
slovenia	スロベニア	ヨーロッパ	すろべにあ	🇸🇮	アルプスの山と洞くつの小さな国。首都はリュブリャナ。	46.2	14.9
slovakia	スロバキア	ヨーロッパ	すろばきあ	🇸🇰	1993年にチェコと分かれてできた国。首都はブラチスラバ。自動車づくりがさかん。	48.7	19.7
lithuania	リトアニア	ヨーロッパ	りとあにあ	🇱🇹	バルト三国の一つ。杉原千畝がユダヤ人にビザを出した町カウナスがある。首都はビリニュス。	55.2	23.9
latvia	ラトビア	ヨーロッパ	らとびあ	🇱🇻	バルト三国のまん中の国。首都リガの旧市街は世界遺産。	56.9	24.6
estonia	エストニア	ヨーロッパ	えすとにあ	🇪🇪	バルト三国の北の国。役所の手続きがほとんどネットでできるIT先進国。首都はタリン。	58.6	25.0
luxembourg	ルクセンブルク	ヨーロッパ	るくせんぶるく	🇱🇺	神奈川県ほどの小さな国。1人あたりの所得が世界トップクラス。EUの機関がある。	49.8	6.1
monacocountry	モナコ	ヨーロッパ	もなこ	🇲🇨	バチカンに次いで世界で2番目に小さい国。カジノとF1グランプリで有名。	43.7	7.4
vatican	バチカン市国	ヨーロッパ	ばちかんしこく	🇻🇦	ローマの中にある世界でいちばん小さい国。カトリックの中心で、ローマ教皇が住む。	41.9	12.45
malta	マルタ	ヨーロッパ	まるた	🇲🇹	地中海にうかぶ島の国。はちみつ色の石の町並みと、英語留学で人気。	35.9	14.4
cyprus	キプロス	ヨーロッパ	きぷろす	🇨🇾	地中海の東にある島の国。ギリシャ系とトルコ系の人々がくらす。	35.1	33.4
albania	アルバニア	ヨーロッパ	あるばにあ	🇦🇱	バルカン半島の西側の国。首都はティラナ。アドリア海のビーチが注目されている。	41.2	20.2
northmacedonia	北マケドニア	ヨーロッパ	きたまけどにあ	🇲🇰	アレクサンドロス大王ゆかりの内陸国。首都はスコピエ。	41.6	21.7
bosnia	ボスニア・ヘルツェゴビナ	ヨーロッパ	ぼすにあへるつぇごびな	🇧🇦	バルカン半島の国。首都サラエボは冬季オリンピックが開かれた町。	43.9	17.7
moldova	モルドバ	ヨーロッパ	もるどば	🇲🇩	ルーマニアとウクライナにはさまれた内陸国。ワインづくりがさかん。	47.0	28.4
georgia	ジョージア	ヨーロッパ・アジア	じょーじあ	🇬🇪	黒海とカスピ海の間、コーカサス山脈のふもとの国。ワイン発祥の地といわれる。	42.3	43.4
armenia	アルメニア	アジア	あるめにあ	🇦🇲	世界で最初にキリスト教を国の宗教にした国。首都はエレバン。	40.1	45.0
azerbaijan	アゼルバイジャン	アジア	あぜるばいじゃん	🇦🇿	カスピ海に面した石油の国。首都バクーには近代的なビルがならぶ。	40.1	47.6
iraq	イラク	中東	いらく	🇮🇶	チグリス川とユーフラテス川の間で、メソポタミア文明が栄えた国。首都はバグダッド。	33.2	43.7
syria	シリア	中東	しりあ	🇸🇾	首都ダマスカスは世界でもっとも古くから人が住みつづける町の一つ。	34.8	39.0
jordan	ヨルダン	中東	よるだん	🇯🇴	岩をほった遺跡ペトラと、死海がある国。首都はアンマン。	30.6	36.2
lebanon	レバノン	中東	ればのん	🇱🇧	地中海に面した小さな国。国旗にはレバノン杉が描かれている。首都はベイルート。	33.9	35.9
kuwait	クウェート	中東	くうぇーと	🇰🇼	ペルシャ湾の奥にある石油の国。日本も多くの石油を輸入している。	29.3	47.5
qatar	カタール	中東	かたーる	🇶🇦	天然ガスで豊かな半島の国。2022年にサッカーのワールドカップが開かれた。首都はドーハ。	25.3	51.2
oman	オマーン	中東	おまーん	🇴🇲	アラビア半島の東のはし。乳香の産地で、首都はマスカット。	21.5	55.9
yemen	イエメン	中東	いえめん	🇾🇪	アラビア半島の南のはし。コーヒーの積み出し港モカで名前が知られる。	15.6	48.5
afghanistan	アフガニスタン	アジア	あふがにすたん	🇦🇫	山の多い内陸国。首都はカブール。シルクロードの通り道だった。	33.9	67.7
pakistan	パキスタン	アジア	ぱきすたん	🇵🇰	インダス文明が栄えた国。世界2位の高さのK2がある。首都はイスラマバード。	30.4	69.3
kazakhstan	カザフスタン	アジア	かざふすたん	🇰🇿	世界でいちばん広い内陸国。バイコヌール宇宙基地から宇宙船が打ち上げられる。	48.0	66.9
uzbekistan	ウズベキスタン	アジア	うずべきすたん	🇺🇿	シルクロードのオアシス都市サマルカンドがある国。青いタイルの建物で有名。	41.4	64.6
kyrgyzstan	キルギス	アジア	きるぎす	🇰🇬	天山山脈の高い山にかこまれた国。大きな湖イシク・クルがある。	41.2	74.8
tajikistan	タジキスタン	アジア	たじきすたん	🇹🇯	国土の9割が山。「世界の屋根」パミール高原がある。	38.9	71.3
turkmenistan	トルクメニスタン	アジア	とるくめにすたん	🇹🇲	カラクム砂漠が広がる国。天然ガスが豊富で、「地獄の門」とよばれる燃えつづける穴がある。	38.97	59.6
bangladesh	バングラデシュ	アジア	ばんぐらでしゅ	🇧🇩	ガンジス川の河口の三角州にある国。人口密度がとても高く、衣類の輸出がさかん。	23.7	90.4
bhutan	ブータン	アジア	ぶーたん	🇧🇹	ヒマラヤの山の国。お金より「国民の幸せ」を大切にする考え方で知られる。	27.5	90.4
myanmar	ミャンマー	アジア	みゃんまー	🇲🇲	金色の仏塔が多い国。昔はビルマとよばれた。首都はネピドー。	19.8	96.1
laos	ラオス	アジア	らおす	🇱🇦	東南アジアで唯一 海のない国。メコン川が流れ、古都ルアンパバーンがある。	18.2	103.8
northkorea	北朝鮮	アジア	きたちょうせん	🇰🇵	朝鮮半島の北半分の国。正式には朝鮮民主主義人民共和国。首都は平壌。	40.3	127.5
brunei	ブルネイ	アジア	ぶるねい	🇧🇳	ボルネオ島にある小さな王国。石油と天然ガスで豊か。	4.5	114.7
timor	東ティモール	アジア	ひがしてぃもーる	🇹🇱	2002年に独立した 21世紀最初の新しい国。コーヒーの産地。	-8.9	125.7
maldives	モルディブ	アジア	もるでぃぶ	🇲🇻	インド洋にうかぶ1000以上のサンゴ礁の島の国。海面上昇の影響が心配されている。	3.2	73.2
algeria	アルジェリア	アフリカ	あるじぇりあ	🇩🇿	アフリカでいちばん広い国。国土の大部分がサハラ砂漠。石油と天然ガスが採れる。	28.0	1.7
tunisia	チュニジア	アフリカ	ちゅにじあ	🇹🇳	古代カルタゴの遺跡がある地中海の国。「アラブの春」が始まった国。	33.9	9.5
libya	リビア	アフリカ	りびあ	🇱🇾	サハラ砂漠と地中海の間の国。石油が豊富で、首都はトリポリ。	26.3	17.2
sudan	スーダン	アフリカ	すーだん	🇸🇩	ナイル川が合流する国。首都はハルツーム。	12.9	30.2
southsudan	南スーダン	アフリカ	みなみすーだん	🇸🇸	2011年にスーダンから独立した 世界でいちばん新しい国。首都はジュバ。	6.9	31.3
somalia	ソマリア	アフリカ	そまりあ	🇸🇴	アフリカの東のはし「アフリカの角」にある国。首都はモガディシュ。	5.2	46.2
uganda	ウガンダ	アフリカ	うがんだ	🇺🇬	ビクトリア湖のほとりの国。ナイル川の源流があり、マウンテンゴリラがくらす。	1.4	32.3
rwanda	ルワンダ	アフリカ	るわんだ	🇷🇼	「千の丘の国」。IT化を進め、アフリカで注目される国。首都はキガリ。	-1.9	29.9
congo	コンゴ民主共和国	アフリカ	こんごみんしゅきょうわこく	🇨🇩	アフリカで2番目に広い国。コンゴ川と熱帯雨林、鉱物資源が豊富。首都はキンシャサ。	-4.0	21.8
cameroon	カメルーン	アフリカ	かめるーん	🇨🇲	「アフリカの縮図」とよばれ、砂漠から熱帯雨林まである。サッカーが強い。	7.4	12.4
ghana	ガーナ	アフリカ	がーな	🇬🇭	カカオ豆の生産で世界トップクラス。野口英世がなくなった国。首都はアクラ。	7.9	-1.0
cotedivoire	コートジボワール	アフリカ	こーとじぼわーる	🇨🇮	カカオ豆の生産が世界一の国。名前は「象牙海岸」という意味。	7.5	-5.5
senegal	セネガル	アフリカ	せねがる	🇸🇳	アフリカ大陸の西のはし。首都ダカールはパリ・ダカールラリーのゴールだった。	14.5	-14.5
mali	マリ	アフリカ	まり	🇲🇱	サハラ砂漠の南の内陸国。かつて黄金の都トンブクトゥが栄えた。	17.6	-4.0
niger	ニジェール	アフリカ	にじぇーる	🇳🇪	サハラ砂漠の内陸国。ウランの産出で知られる。首都はニアメ。	17.6	8.1
chad	チャド	アフリカ	ちゃど	🇹🇩	サハラ砂漠とチャド湖のある内陸国。首都はンジャメナ。	15.5	18.7
angola	アンゴラ	アフリカ	あんごら	🇦🇴	大西洋に面した国。石油とダイヤモンドが採れる。首都はルアンダ。	-11.2	17.9
zambia	ザンビア	アフリカ	ざんびあ	🇿🇲	銅の産地として有名な内陸国。ジンバブエとの国境にビクトリアの滝がある。	-13.1	27.8
zimbabwe	ジンバブエ	アフリカ	じんばぶえ	🇿🇼	ビクトリアの滝と、石の遺跡グレート・ジンバブエがある国。	-19.0	29.2
mozambique	モザンビーク	アフリカ	もざんびーく	🇲🇿	インド洋に面した国。国旗に銃が描かれている珍しい国。	-18.7	35.5
namibia	ナミビア	アフリカ	なみびあ	🇳🇦	世界最古といわれるナミブ砂漠がある国。赤い砂丘とダイヤモンドで知られる。	-22.9	18.5
botswana	ボツワナ	アフリカ	ぼつわな	🇧🇼	カラハリ砂漠とオカバンゴ・デルタがある内陸国。ダイヤモンドで豊か。	-22.3	24.7
mauritius	モーリシャス	アフリカ	もーりしゃす	🇲🇺	インド洋にうかぶ島の国。絶滅した鳥ドードーがすんでいた。リゾートで人気。	-20.3	57.6
seychelles	セーシェル	アフリカ	せーしぇる	🇸🇨	インド洋の115の島からなる国。花こう岩の岩と白い砂浜が美しい。	-4.7	55.5
guatemala	グアテマラ	中央アメリカ	ぐあてまら	🇬🇹	マヤ文明の遺跡ティカルがある国。コーヒーの産地で、火山が多い。	15.8	-90.2
costarica	コスタリカ	中央アメリカ	こすたりか	🇨🇷	軍隊を持たない平和な国。国土の4分の1が自然保護区で、ナマケモノがくらす。	9.7	-83.8
panamacountry	パナマ	中央アメリカ	ぱなま	🇵🇦	太平洋と大西洋をむすぶパナマ運河がある国。	8.5	-80.8
jamaica	ジャマイカ	カリブ海	じゃまいか	🇯🇲	レゲエ音楽と、短距離走の速い選手で知られるカリブ海の島国。ブルーマウンテンコーヒーの産地。	18.1	-77.3
haiti	ハイチ	カリブ海	はいち	🇭🇹	世界で最初に黒人が独立させた国。フランス語が使われる。	19.0	-72.3
dominican	ドミニカ共和国	カリブ海	どみにかきょうわこく	🇩🇴	カリブ海の島イスパニョーラの東側の国。野球が強く、多くの大リーガーを生んだ。	18.7	-70.2
venezuela	ベネズエラ	南アメリカ	べねずえら	🇻🇪	世界一落差の大きい滝エンジェルフォールがある国。石油の埋蔵量は世界一。	6.4	-66.6
ecuador	エクアドル	南アメリカ	えくあどる	🇪🇨	赤道が通る国で、名前も「赤道」という意味。ガラパゴス諸島とバナナで知られる。	-1.8	-78.2
bolivia	ボリビア	南アメリカ	ぼりびあ	🇧🇴	ウユニ塩湖とチチカカ湖がある高地の内陸国。首都ラパスは世界一高い首都。	-16.3	-63.6
